commit type,deleted lines count
Other,1
Multi-lang,68
Other,1
Other,1
Multi-lang,4
Multi-lang,2
Other,1
Other,27
Multi-lang,514
Other,2
Other,6
Other,53
Other,8
Other,1
Other,1
Other,1
Other,3
Other,4
Multi-lang,12
Other,0
Other,0
Other,1
Multi-lang,2
Other,0
Multi-lang,28
Other,23
Other,6
Other,3
Other,0
Other,4
Other,17
Other,41
Other,26
Multi-lang,5
Other,31
Other,2
Other,14
Other,0
Other,6
Multi-lang,11
Other,0
Other,50
Other,0
Other,1
Other,3
Other,1
Other,4
Multi-lang,62
Other,69
Other,0
Multi-lang,108
Multi-lang,53
Other,1
Other,2
Other,23
Other,9
Other,0
Other,0
Other,2
Other,2
Other,0
Multi-lang,70
Multi-lang,1
Other,1
Other,0
Other,1
Other,3
Other,0
Multi-lang,125
Other,23
Other,0
Other,26
Other,1
Other,1
Multi-lang,138
Other,8
Other,4
Other,3
Multi-lang,173
Other,3
Other,16
Other,0
Other,17
Other,8
Multi-lang,19
Multi-lang,44
Multi-lang,22
Multi-lang,42
Multi-lang,10
Other,0
Multi-lang,108
Other,1
Other,2
Other,1
Other,1
Multi-lang,43
Multi-lang,5
Multi-lang,21
Other,5
Other,0
Multi-lang,323
Multi-lang,23
Other,0
Multi-lang,72
Other,43
Other,2
Other,71
Multi-lang,107
Other,1
Other,0
Other,1
Other,1
Other,0
Other,4
Other,38
Other,135
Other,7
Other,29
Multi-lang,45
Other,43
Multi-lang,31
Other,2
Other,1
Other,1
Other,2
Other,3
Multi-lang,30
Multi-lang,101
Other,0
Other,18
Other,95
Other,1
Other,3
Other,3
Other,2
Other,1
Other,5
Other,1
Other,10
Other,4
Other,1
Other,5
Other,0
Other,0
Other,1
Other,1
Other,17
Other,7
Multi-lang,25
Other,11
Other,24
Other,2
Other,2
Other,3
Other,650
Other,6
Other,327
Other,2
Other,1
Other,1
Other,1
Other,1
Other,4
Other,1
Other,16
Other,14
Other,0
Other,1
Other,0
Other,6
Other,22
Other,6
Multi-lang,153
Other,1
Other,0
Other,1
Other,3
Other,2
Multi-lang,5
Other,4
Other,1
Other,1
Other,0
Other,0
Other,1
Other,1
Other,54
Multi-lang,7
Other,2
Multi-lang,41
Other,2
Other,172
Other,1
Other,1
Other,7
Other,1
Other,0
Other,4
Other,2
Other,4
Other,5
Other,15
Multi-lang,15
Multi-lang,132
Other,5
Other,8
Other,4
Other,4
Other,0
Other,309
Multi-lang,24
Other,9
Other,5
Other,5
Other,2
Multi-lang,87
Other,0
Other,0
Other,1
Other,1
Other,0
Other,1
Other,34
Other,11
Other,4
Other,2
Other,4
Other,11
Multi-lang,35
Other,0
Multi-lang,12
Multi-lang,26
Other,2
Other,0
Other,0
Other,0
Multi-lang,12
Other,1
Other,9
Other,1
Other,1
Other,4
Other,5
Other,8
Other,2
Other,1
Multi-lang,22
Other,0
Other,26
Other,11
Multi-lang,198
Other,1
Other,2
Other,2
Other,1
Other,3
Other,0
Other,1
Other,4
Other,1
Other,0
Other,1
Other,0
Other,258
Multi-lang,39
Other,6
Other,2
Other,0
Other,1
Other,71
Other,2
Other,1
Other,3
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,63
Other,1
Other,1
Other,1
Other,1
Other,2
Other,6
Multi-lang,29
Other,1
Other,0
Other,26
Other,2
Other,11
Other,0
Other,2
Other,276
Other,0
Other,93
Other,2
Other,0
Multi-lang,4
Multi-lang,20
Multi-lang,123
Other,0
Other,1
Other,0
Other,0
Other,0
Other,0
Other,1
Multi-lang,47
Multi-lang,35
Multi-lang,19
Multi-lang,27
Other,5
Other,0
Other,9
Other,12
Other,12
Other,7
Other,4
Multi-lang,8
Other,0
Other,1
Other,0
Other,0
Other,1
Other,10
Other,8
Other,35
Other,2
Other,1
Other,71
Other,0
Other,0
